'FRAME' 'TIME' 'RIB CAGE' 'RIGHT HIP' 'RIGHT KNEE' 'RIGHT FIBULA' 'RIGHT ANKLE' 'RIGHT HEEL' 'RIGHT MT5' 'RIGHT TOE'
22 0.3 85.86 105.68 87.77 80.49 99.73 51.86 101.13 43.84 110.68 11.52 108.39 4.14 123.15 9.35 128.24 13.3
23 0.315 87.74 105.81 89.91 80.61 101.36 51.73 103.14 43.71 114.85 12.15 112.43 4.9 126.94 10.88 131.77 15.33
24 0.329 90.34 105.17 92.25 80.49 103.57 51.09 105.36 43.58 118.33 12.15 116.3 5.28 130.55 11.39 135.39 16.23
25 0.343 92.25 104.79 94.41 80.1 105.23 50.96 107.26 43.46 120.75 12.28 118.84 4.65 133.22 11.64 137.8 16.73
26 0.357 94.36 104.16 97.03 79.72 107.59 50.84 109.5 42.69 122.99 12.03 121.34 4.14 135.21 11.39 139.79 16.23
27 0.372 96.57 103.77 99.37 79.98 109.93 50.58 111.58 42.95 124.31 11.9 122.14 3.75 136.27 10.37 140.85 15.21
28 0.386 98.73 103.52 101.53 79.34 112.34 50.46 113.87 41.8 124.94 10.63 122.65 3.25 137.16 8.97 141.99 13.68
29 0.4 101.4 103.26 104.45 79.6 114.89 50.33 116.28 41.8 125.83 9.61 123.03 3.5 137.66 7.95 142.88 11.9
30 0.415 103.6 103.65 106.78 79.6 116.96 50.46 118.11 41.8 127.02 9.74 123.2 4.14 138.34 6.3 144.45 10.24
31 0.429 105.94 103.65 108.86 79.6 118.53 50.33 119.81 41.55 127.82 9.48 123.12 4.01 138.77 5.41 145.13 8.59
32 0.443 108.22 103.52 111.28 80.1 120.44 50.58 121.71 42.18 128.33 9.61 123.24 4.14 139.27 4.65 145.38 6.81
33 0.458 110.75 104.03 113.8 80.49 122.84 50.96 124.24 42.44 129.07 9.35 123.6 4.14 139.51 4.14 146.38 6.3
34 0.472 112.91 104.03 115.58 81.38 125.25 51.86 126.14 42.57 129.45 9.61 123.98 4.39 139.63 3.37 146.25 5.41
35 0.486 115.2 104.28 117.36 81.89 127.54 51.86 128.05 42.44 129.83 9.74 123.98 4.26 140.01 3.63 147.14 5.41
36 0.5 116.74 104.54 118.78 81.63 128.32 51.86 128.83 42.69 129.46 9.1 123.48 4.14 139.39 3.75 146.52 4.77
37 0.515 119.05 105.43 120.96 81.63 129.87 51.86 130.13 42.95 129.74 9.35 123.89 4.65 139.8 3.63 146.54 4.9
38 0.529 121.31 105.3 123.1 82.27 130.86 51.6 131.49 42.18 130.1 9.23 124.24 4.52 140.02 3.75 147.27 4.52
39 0.543 123.28 106.19 124.93 83.03 132.18 52.36 132.31 42.82 130.53 9.61 124.55 4.9 140.45 3.75 147.33 5.28
40 0.558 125.03 106.19 126.94 82.78 133.04 51.35 132.79 42.44 130.37 9.35 124.64 4.26 140.55 3.5 147.04 4.77
41 0.572 127.21 106.83 128.61 83.03 133.58 51.73 132.81 42.44 130.27 9.61 124.67 4.77 139.94 3.63 147.19 4.52
42 0.586 128.71 106.95 130.24 83.03 134.31 51.35 133.17 43.2 129.98 8.97 123.75 4.77 139.91 3.37 146.91 4.77
43 0.601 130.9 107.34 132.04 82.9 134.72 50.96 133.7 42.57 130.39 9.61 124.54 4.14 140.19 3.5 147.31 4.52
44 0.615 132.52 107.97 133.03 83.41 135.7 52.62 134.56 43.2 130.23 9.61 124.12 4.52 139.9 4.01 146.78 4.26
45 0.629 134.48 107.85 134.86 83.54 136.26 51.86 134.73 42.95 129.89 9.48 123.91 4.77 139.82 3.63 146.95 4.26
46 0.643 136.33 108.1 136.2 83.8 137.09 51.86 135.18 43.07 130.22 10.24 124.37 4.9 140.02 3.37 147.02 4.77
47 0.658 138.33 108.23 138.08 82.9 137.95 51.47 135.66 42.69 130.06 9.99 124.08 4.77 140.11 3.75 146.99 4.26
48 0.672 140.14 108.48 139.38 82.9 138.74 51.6 136.19 42.69 130.47 10.12 124.36 5.03 140.01 3.25 147.01 4.01
49 0.686 142.2 107.97 140.67 82.78 139.15 51.09 136.73 42.57 130.49 9.99 124.64 5.28 140.16 3.12 147.04 4.52
50 0.701 144.05 107.46 142.02 82.65 140.11 51.09 137.05 42.57 130.56 9.99 124.2 4.9 139.6 3.63 146.85 4.01
51 0.715 146.01 107.08 143.85 82.01 140.92 50.58 137.87 42.06 130.49 10.24 124.76 4.77 140.03 3.5 147.28 3.75
52 0.729 148.58 107.46 146.04 82.4 142.22 50.84 138.66 42.44 131.27 10.24 125.17 5.28 140.18 3.63 147.18 4.14
53 0.744 149.92 106.57 147.51 81.63 143.05 50.58 139.23 41.93 130.96 10.12 125.24 5.03 140.25 3.37 147.25 4.01
54 0.758 152.34 106.32 148.9 81.5 143.69 50.71 140.12 42.57 131.47 10.63 125.49 5.66 140.5 3.37 147.5 3.88
55 0.772 153.94 105.81 150.5 81.12 144.27 50.46 140.45 42.95 131.03 10.63 124.8 6.17 140.07 2.99 146.94 3.75
56 0.786 156.15 105.3 152.46 81 145.59 50.71 141.52 42.31 131.34 10.63 125.61 5.92 140.5 3.37 147.24 3.88
57 0.801 158.65 104.92 154.57 81 147.07 50.58 142.61 42.18 131.8 10.75 125.94 7.06 140.7 3.5 147.45 3.75
58 0.815 160.5 104.66 156.3 80.61 148.41 50.71 143.83 43.2 132.12 12.15 125.89 7.7 140.65 4.01 147.39 4.14
59 0.829 162.61 104.41 157.9 80.1 149.75 50.33 144.66 42.31 131.94 12.03 125.96 7.83 140.34 3.75 146.95 3.75
60 0.844 164.58 104.03 159.88 80.23 151.22 50.33 146.26 42.82 132.26 12.66 126.03 8.46 140.41 3.75 147.02 3.88
61 0.858 166.66 103.77 162.08 80.23 153.3 50.33 147.96 42.69 132.69 12.92 126.58 9.61 140.2 4.26 146.69 4.26
62 0.872 168.9 104.03 164.19 79.6 155.41 50.07 150.06 42.57 133.39 13.93 126.9 10.5 140.01 3.88 146.76 4.01
63 0.887 171 103.9 166.42 79.85 157.01 50.07 152.3 42.69 133.97 14.83 127.48 12.28 140.21 3.88 146.83 3.75
64 0.901 173.53 103.14 169.07 78.96 160.29 49.06 154.95 42.06 135.48 14.95 128.73 13.04 140.95 4.14 147.06 3.5
65 0.915 175.81 103.52 171.74 79.47 163.22 49.06 157.62 42.31 136.75 16.48 129.62 14.83 141.08 4.65 147.18 3.75
66 0.929 179.23 103.14 175.16 78.83 166.89 48.55 161.03 41.04 139.14 17.37 132.15 16.1 141.94 5.28 148.31 2.99
67 0.944 181.49 103.14 177.8 78.58 170.04 48.16 164.69 41.42 140.9 18.64 134.02 18.52 142.42 5.79 148.4 2.86
68 0.958 183.65 103.77 180.6 79.09 174.11 48.04 168.25 41.55 143.69 19.79 136.95 21.57 143.69 7.57 149.04 3.63
69 0.972 184.86 103.39 182.44 77.94 176.97 47.02 171.5 40.15 145.54 20.42 139.43 23.35 144.14 7.95 148.59 3.5
70 0.987 187.71 104.28 185.67 78.83 181.73 47.53 176 40.15 149.53 21.82 143.81 25.13 146.86 9.74 150.17 4.26
71 1.001 188.82 104.16 187.29 78.2 184.36 46.89 179.4 39.51 152.68 22.21 146.95 25.9 149.11 10.75 151.91 4.14
72 1.015 191.13 104.92 189.48 78.83 188.33 47.27 184 39.89 156.39 23.73 150.54 27.17 153.34 12.03 156.52 5.66
73 1.03 192.42 105.55 190.89 79.09 191.78 47.66 187.71 40.53 159.84 24.24 153.73 27.68 157.17 12.28 160.73 5.92
74 1.044 194.4 106.19 193 79.6 195.29 48.16 191.47 41.04 163.99 24.37 157.5 27.93 161.82 12.66 165.38 6.43
75 1.058 196.18 105.94 195.16 79.72 199.1 48.93 195.79 41.42 168.44 24.5 161.95 27.04 167.29 12.15 170.98 6.68
76 1.072 197.69 106.06 196.42 80.1 202.66 49.31 199.47 41.55 172.5 23.61 165.88 25.77 171.99 10.88 176.57 6.17
77 1.087 199.57 106.7 198.68 81 206.19 50.33 203.39 42.44 177.3 22.84 170.56 25.01 177.81 10.12 182.65 6.17
78 1.101 201.17 107.21 200.53 81.63 209.57 51.22 206.9 43.2 182.08 21.95 175.08 23.1 183.74 9.61 189.21 4.9
79 1.115 202.99 107.59 202.48 82.14 212.66 52.11 210.63 43.84 187.09 21.06 179.83 21.57 189.76 8.97 195.61 4.77
80 1.13 204.67 107.59 204.8 82.65 215.74 52.62 213.83 44.47 192.2 19.66 184.95 19.28 196.02 7.19 201.75 4.39
81 1.144 206.27 107.46 206.78 82.52 218.49 53.13 216.96 44.47 197.36 17.88 190.11 16.73 202.45 6.81 208.94 3.75
82 1.158 208.3 107.72 209.07 83.03 221.28 53.89 219.88 45.24 202.96 16.86 195.58 14.57 209.19 5.41 215.94 4.26
83 1.173 210.18 107.72 211.07 83.03 223.8 54.02 222.91 45.24 208.15 15.59 201.27 12.53 215.14 4.9 222.65 3.5
84 1.187 211.95 107.46 212.97 82.78 226.2 54.4 225.7 45.49 213.86 13.68 207.37 10.12 221.88 4.39 229.13 3.88
85 1.201 213.83 107.21 215.1 82.9 228.59 54.65 228.21 45.49 219.43 12.79 213.45 8.59 228.72 3.75 235.59 4.9
86 1.215 215.63 107.08 217.03 82.65 230.52 54.65 230.52 45.11 224.92 11.39 219.32 6.68 234.84 4.26 241.72 5.28
87 1.23 217.58 106.7 219.11 82.65 232.85 54.65 232.6 45.24 230.94 11.39 225.85 5.66 241.38 4.52 247.74 6.3
88 1.244 219.36 106.45 220.89 82.27 234.63 53.64 234.76 44.47 236.28 11.01 232.09 4.52 247.86 4.52 254.1 7.32
89 1.258 221.06 105.94 222.71 81.63 236.07 53.13 236.84 44.35 241.8 10.37 237.35 4.01 253 6.05 259.36 9.48
90 1.273 223.53 105.55 225.18 81.12 238.29 52.75 239.18 43.46 247.07 10.63 243.89 3.63 259.41 7.06 265.01 11.26
91 1.287 225.31 104.92 227.6 81 239.81 51.73 241.47 43.33 252.03 11.01 249.23 3.63 264.24 8.84 269.33 12.92
92 1.301 227.33 104.66 229.75 80.1 241.33 50.84 243.36 42.82 255.83 11.01 253.54 3.63 268.31 9.86 273.4 14.32
93 1.316 229.28 104.41 231.57 79.98 243.03 50.46 245.32 42.82 259.31 11.26 257.53 4.14 271.78 10.75 276.49 15.84
94 1.33 231.49 104.03 234.16 79.6 245.23 50.33 247.4 42.82 262.03 12.15 260.5 4.01 274.75 11.26 278.95 16.48
95 1.344 233.8 103.52 236.47 79.21 247.67 49.82 249.57 42.31 263.95 10.88 262.55 3.63 276.42 10.88 281.39 15.72
96 1.358 235.62 103.01 238.8 78.83 250 49.82 251.91 41.68 265.27 10.24 263.49 3.12 277.74 9.99 282.7 14.7
97 1.373 238.04 103.01 241.6 79.21 252.8 50.33 254.32 42.06 266.41 9.86 264.12 2.99 278.63 8.59 283.72 13.43
98 1.387 240.34 103.14 244.29 79.21 255.23 50.2 256.5 41.55 267.06 9.23 264.14 3.37 279.15 7.44 284.5 11.39
99 1.401 242.88 103.01 246.83 79.09 257.39 50.07 258.92 41.42 268.72 9.48 264.52 3.63 280.42 6.05 286.15 9.1
100 1.416 245.09 102.63 249.16 79.34 259.6 50.07 260.74 41.68 269.78 9.23 264.69 3.63 281.1 4.9 287.08 7.95
101 1.43 247.53 103.26 251.6 79.72 261.9 50.96 263.3 42.57 270.18 9.48 265.21 4.26 281.25 4.39 287.86 6.68
102 1.444 249.91 102.88 253.73 80.36 264.42 50.96 265.95 42.44 270.78 9.1 265.18 3.63 281.47 3.5 288.09 5.54
103 1.459 251.81 103.39 255.63 81 266.7 51.6 267.59 42.82 271.15 9.23 265.3 4.39 281.84 3.63 288.2 5.15
104 1.473 253.96 104.16 257.65 81.38 268.47 51.47 269.23 42.69 271.4 9.23 265.16 3.88 281.96 3.25 288.45 5.03
105 1.487 256.07 104.28 259.51 81.25 269.56 51.35 270.19 42.31 271.34 8.59 265.36 3.5 281.52 2.74 288.14 4.39
106 1.501 257.61 105.05 260.92 81.63 270.34 51.6 270.85 42.44 270.85 8.84 264.99 3.88 281.15 2.35 287.77 4.52
